"","gene","GO"
"34","1030_s_at","GO:0006260;GO:0006265;GO:0006265;GO:0006265;GO:0006338;GO:0007059;GO:0007623;GO:0009410;GO:0012501;GO:0016310;GO:0018105;GO:0032922;GO:0040016;GO:0000228;GO:0000932;GO:0001650;GO:0001673;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005730;GO:0005730;GO:0005730;GO:0032993;GO:0043204;GO:0000978;GO:0003677;GO:0003677;GO:0003677;GO:0003682;GO:0003690;GO:0003697;GO:0003723;GO:0003917;GO:0003917;GO:0003917;GO:0004674;GO:0005515;GO:0005524;GO:0008301;GO:0019904;GO:0097100"
"35","1031_at","GO:0000245;GO:0006468;GO:0007059;GO:0008380;GO:0035092;GO:0035556;GO:0035556;GO:0045070;GO:0045071;GO:0045087;GO:0048024;GO:0050684;GO:0050684;GO:0000785;GO:0005634;GO:0005634;GO:0005654;GO:0005737;GO:0005737;GO:0005783;GO:0005829;GO:0005829;GO:0005886;GO:0016363;GO:0016607;GO:0000287;GO:0003723;GO:0004672;GO:0004674;GO:0004674;GO:0005515;GO:0005524;GO:0106310"
"36","1032_at","GO:0002407;GO:0002438;GO:0006935;GO:0006954;GO:0006955;GO:0006968;GO:0007165;GO:0007166;GO:0007200;GO:0007204;GO:0008284;GO:0010666;GO:0019722;GO:0030593;GO:0030593;GO:0030901;GO:0031623;GO:0033030;GO:0038112;GO:0042119;GO:0043117;GO:0045766;GO:0060326;GO:0070098;GO:0072173;GO:0090023;GO:0005654;GO:0005886;GO:0005886;GO:0005887;GO:0009897;GO:0009986;GO:0015630;GO:0016020;GO:0030667;GO:0042629;GO:0072686;GO:0004918;GO:0004930;GO:0005515;GO:0016493;GO:0016494;GO:0019957;GO:0019959"
"37","1033_g_at","GO:0002407;GO:0002438;GO:0006935;GO:0006954;GO:0006955;GO:0006968;GO:0007165;GO:0007166;GO:0007200;GO:0007204;GO:0008284;GO:0010666;GO:0019722;GO:0030593;GO:0030593;GO:0030901;GO:0031623;GO:0033030;GO:0038112;GO:0042119;GO:0043117;GO:0045766;GO:0060326;GO:0070098;GO:0072173;GO:0090023;GO:0005654;GO:0005886;GO:0005886;GO:0005887;GO:0009897;GO:0009986;GO:0015630;GO:0016020;GO:0030667;GO:0042629;GO:0072686;GO:0004918;GO:0004930;GO:0005515;GO:0016493;GO:0016494;GO:0019957;GO:0019959"
"38","1034_at","GO:0007601;GO:0009725;GO:0010033;GO:0010951;GO:0034097;GO:0051045;GO:0051045;GO:0070373;GO:0071310;GO:1903984;GO:1904684;GO:0005576;GO:0005604;GO:0005615;GO:0005634;GO:0031012;GO:0031089;GO:0062023;GO:0002020;GO:0005515;GO:0008191;GO:0008191;GO:0046872"
"39","1035_g_at","GO:0007601;GO:0009725;GO:0010033;GO:0010951;GO:0034097;GO:0051045;GO:0051045;GO:0070373;GO:0071310;GO:1903984;GO:1904684;GO:0005576;GO:0005604;GO:0005615;GO:0005634;GO:0031012;GO:0031089;GO:0062023;GO:0002020;GO:0005515;GO:0008191;GO:0008191;GO:0046872"
"40","1036_at","GO:0001779;GO:0001787;GO:0001819;GO:0001866;GO:0006954;GO:0006955;GO:0007165;GO:0007260;GO:0007267;GO:0007568;GO:0008284;GO:0014732;GO:0030212;GO:0030225;GO:0032740;GO:0032819;GO:0032825;GO:0034105;GO:0035723;GO:0042102;GO:0042119;GO:0042119;GO:0042531;GO:0045062;GO:0045580;GO:0048469;GO:0048535;GO:0048662;GO:0050691;GO:0050729;GO:0050731;GO:0050766;GO:0050778;GO:0071305;GO:0120163;GO:1904100;GO:0005576;GO:0005576;GO:0005615;GO:0005654;GO:0005737;GO:0005768;GO:0005794;GO:0005829;GO:0009986;GO:0016607;GO:0005125;GO:0005126;GO:0005515"
"41","1038_s_at","GO:0001774;GO:0007165;GO:0009615;GO:0010628;GO:0019221;GO:0032760;GO:0048143;GO:0060333;GO:0098586;GO:1900222;GO:1902004;GO:0005886;GO:0005886;GO:0005887;GO:0004896;GO:0004906;GO:0005515;GO:0019955"
"42","1039_s_at","GO:0000302;GO:0001525;GO:0001666;GO:0001666;GO:0001678;GO:0001755;GO:0001837;GO:0001892;GO:0001922;GO:0001938;GO:0001947;GO:0002052;GO:0002062;GO:0002071;GO:0002248;GO:0003151;GO:0003208;GO:0006089;GO:0006110;GO:0006355;GO:0006357;GO:0006879;GO:0007165;GO:0007405;GO:0007595;GO:0008542;GO:0010039;GO:0010468;GO:0010573;GO:0010575;GO:0010575;GO:0010628;GO:0010628;GO:0010629;GO:0010634;GO:0014850;GO:0016239;GO:0019896;GO:0021502;GO:0021987;GO:0030282;GO:0030502;GO:0030949;GO:0031929;GO:0032007;GO:0032364;GO:0032722;GO:0032909;GO:0032963;GO:0035162;GO:0035773;GO:0035774;GO:0042541;GO:0043536;GO:0043619;GO:0045648;GO:0045766;GO:0045766;GO:0045821;GO:0045893;GO:0045893;GO:0045926;GO:0045944;GO:0045944;GO:0045944;GO:0046716;GO:0046886;GO:0048546;GO:0051000;GO:0051402;GO:0051541;GO:0060574;GO:0061030;GO:0061072;GO:0061298;GO:0061419;GO:0061419;GO:0070101;GO:0070244;GO:0071347;GO:0071456;GO:0071456;GO:0071456;GO:0071542;GO:0097152;GO:0097411;GO:0098586;GO:1900017;GO:1902895;GO:1902895;GO:1903377;GO:1903599;GO:1903715;GO:2000273;GO:2000378;GO:2000434;GO:2001054;GO:0000785;GO:0000785;GO:0000791;GO:0005634;GO:0005654;GO:0005654;GO:0005667;GO:0005737;GO:0005829;GO:0005829;GO:0016604;GO:0016607;GO:0031514;GO:0032991;GO:0090575;GO:1904115;GO:0000977;GO:0000977;GO:0000978;GO:0000981;GO:0000981;GO:0000981;GO:0001216;GO:0001223;GO:0001228;GO:0001228;GO:0002039;GO:0003700;GO:0005515;GO:0016922;GO:0019899;GO:0019901;GO:0019904;GO:0031625;GO:0042826;GO:0043565;GO:0046982;GO:0051879;GO:0061629;GO:0070888"
"43","103_at","GO:0001938;GO:0006986;GO:0007165;GO:0016525;GO:0034103;GO:0034976;GO:0034976;GO:0048266;GO:0048771;GO:0050731;GO:0051451;GO:0051781;GO:0071603;GO:0090023;GO:0005576;GO:0005604;GO:0005615;GO:0005783;GO:0016529;GO:0062023;GO:0062023;GO:0070062;GO:0005178;GO:0005509;GO:0005515;GO:0008083;GO:0008201"
"44","1040_s_at","GO:0007010;GO:0007399;GO:0008154;GO:0010592;GO:0016477;GO:0016601;GO:0018108;GO:0061001;GO:0070309;GO:2000601;GO:0005634;GO:0005737;GO:0005829;GO:0005856;GO:0005912;GO:0030027;GO:0030027;GO:0031209;GO:0032433;GO:0043197;GO:0005515;GO:0008093;GO:0017124;GO:0017124;GO:0017124;GO:0019900;GO:0031267;GO:0031625;GO:0035591;GO:0042802;GO:0070064"
"45","1041_at","GO:0001934;GO:0007171;GO:0007399;GO:0007411;GO:0022407;GO:0022407;GO:0022604;GO:0031290;GO:0032956;GO:0032956;GO:0043087;GO:0043087;GO:0048013;GO:0048013;GO:0048668;GO:0048672;GO:0050731;GO:0050919;GO:0051893;GO:0051965;GO:0061178;GO:0070507;GO:0071372;GO:0099560;GO:1900025;GO:1904322;GO:0005604;GO:0005886;GO:0005886;GO:0005886;GO:0005901;GO:0005912;GO:0031362;GO:0031362;GO:0098982;GO:0005168;GO:0005169;GO:0005170;GO:0005515;GO:0030297;GO:0045499;GO:0046875;GO:0046875"
"46","1042_at","GO:0008285;GO:0010951;GO:0005615;GO:0016021;GO:0070062;GO:0005515;GO:0008191"
"47","1043_s_at","GO:0000724;GO:0000730;GO:0006302;GO:0006310;GO:0006312;GO:0006974;GO:0010792;GO:0034599;GO:0045002;GO:2000819;GO:0005634;GO:0005634;GO:0005654;GO:0032991;GO:0032993;GO:0003677;GO:0003697;GO:0005515;GO:0042802"
"48","1044_s_at","GO:0006357;GO:0030030;GO:0045893;GO:0051726;GO:0000785;GO:0001650;GO:0005654;GO:0005654;GO:0005730;GO:0043231;GO:0090575;GO:0000978;GO:0000981;GO:0000981;GO:0001216;GO:0003700;GO:0005515;GO:0046983"
